
NUMBER	TC1	BIN	HEX
52	6754202	011001110000111110011010	670F9A
53	3103178	01011110101100111001010	2F59CA
54	3228842	01100010100010010101010	3144AA
55	6786623	011001111000111000111111	678E3F
56	5329085	010100010101000010111101	5150BD
57	2334647	01000111001111110110111	239FB7
58	7253396	011011101010110110010100	6EAD94
59	6516953	011000110111000011011001	6370D9
60	5972725	010110110010001011110101	5B22F5
61	5828037	010110001110110111000101	58EDC5
62	6642265	011001010101101001011001	655A59
63	2559699	01001110000111011010011	270ED3
64	6597631	011001001010101111111111	64ABFF
65	5826202	010110001110011010011010	58E69A
66	4642335	010001101101011000011111	46D61F
67	1862900	0111000110110011110100	1C6CF4
68	6039635	010111000010100001010011	5C2853
69	3358744	01100110100000000011000	334018
70	4965249	010010111100001110000001	4BC381
71	6621475	011001010000100100100011	650923
72	3336153	01100101110011111011001	32E7D9
73	1044743	011111111000100000111	FF107
74	6201477	010111101010000010000101	5EA085
75	6297100	011000000001011000001100	60160C
76	885678	011011000001110101110	D83AE
77	8546891	0100000100110101001001011	826A4B
78	6683923	011001011111110100010011	65FD13
79	7064472	011010111100101110011000	6BCB98
80	3430021	01101000101011010000101	345685
81	9764122	0100101001111110100011010	94FD1A
82	9958605	0100101111111010011001101	97F4CD
83	1006022	011110101100111000110	F59C6
84	5276496	010100001000001101010000	508350
85	8876232	0100001110111000011001000	8770C8
86	3364648	01100110101011100101000	335728
87	3539979	01101100000010000001011	36040B
88	3003857	01011011101010111010001	2DD5D1
89	4481634	010001000110001001100010	446262
90	9035781	0100010011110000000000101	89E005
91	3767021	01110010111101011101101	397AED
92	4993901	010011000011001101101101	4C336D
93	8698377	0100001001011101000001001	84BA09
94	4626501	010001101001100001000101	469845
95	1755352	0110101100100011011000	1AC8D8
96	2755340	01010100000101100001100	2A0B0C
97	5150616	010011101001011110011000	4E9798
98	9345169	0100011101001100010010001	8E9891
99	848948	011001111010000110100	CF434
100	2708748	01010010101010100001100	29550C
101	8372451	011111111100000011100011	7FC0E3
102	3523015	01101011100000111000111	35C1C7
103	2624283	01010000000101100011011	280B1B
104	8795348	0100001100011010011010100	8634D4
105	2318100	01000110101111100010100	235F14
106	4750861	010010000111111000001101	487E0D
107	3770597	01110011000100011100101	3988E5
108	1053352	0100000001001010101000	1012A8
109	833307	011001011011100011011	CB71B
110	4632526	010001101010111111001110	46AFCE
111	2212917	01000011100010000110101	21C435
112	5053189	010011010001101100000101	4D1B05
113	412218	01100100101000111010	64A3A
114	4901564	010010101100101010111100	4ACABC
115	5094606	010011011011110011001110	4DBCCE
116	8070285	011110110010010010001101	7B248D
117	6847905	011010000111110110100001	687DA1
118	4311824	010000011100101100010000	41CB10
119	3009421	01011011110101110001101	2DEB8D
120	1629105	0110001101101110110001	18DBB1
121	8431899	0100000001010100100011011	80A91B
122	7582456	011100111011001011111000	73B2F8
123	7332147	011011111110000100110011	6FE133
124	314183	01001100101101000111	4CB47
125	7632568	011101000111011010111000	7476B8
126	8161327	011111001000100000101111	7C882F
127	6961087	011010100011011110111111	6A37BF
128	6898282	011010010100001001101010	69426A
129	9749303	0100101001100001100110111	94C337
130	4427419	010000111000111010011011	438E9B
131	4368829	010000101010100110111101	42A9BD
132	6439318	011000100100000110010110	624196
133	6473603	011000101100011110000011	62C783
134	6446249	011000100101110010101001	625CA9
135	9818836	0100101011101001011010100	95D2D4
136	9438069	0100100000000001101110101	900375
137	2809499	01010101101111010011011	2ADE9B
138	3460304	01101001100110011010000	34CCD0
139	8430904	0100000001010010100111000	80A538
140	9774785	0100101010010011011000001	9526C1
141	9560603	0100100011110001000011011	91E21B
142	3440732	01101001000000001011100	34805C
143	7053263	011010111001111111001111	6B9FCF
144	287398	01000110001010100110	462A6
145	4043644	01111011011001101111100	3DB37C
146	2943820	01011001110101101001100	2CEB4C
147	9030962	0100010011100110100110010	89CD32
148	7537540	011100110000001110000100	730384
149	7203657	011011011110101101001001	6DEB49
150	5639400	010101100000110011101000	560CE8
151	9448142	0100100000010101011001110	902ACE
152	9954392	0100101111110010001011000	97E458
153	2856859	01010111001011110011011	2B979B
154	1332118	0101000101001110010110	145396
155	6984725	011010101001010000010101	6A9415
156	1925762	0111010110001010000010	1D6282
157	2138171	01000001010000000111011	20A03B
158	347447	01010100110100110111	54D37
159	8839390	0100001101110000011011110	86E0DE
160	3951652	01111000100110000100100	3C4C24
161	3755102	01110010100110001011110	394C5E
162	6867687	011010001100101011100111	68CAE7
163	4383175	010000101110000111000111	42E1C7
164	7125508	011011001011101000000100	6CBA04
165	7799732	011101110000001110110100	7703B4
166	8784156	0100001100000100100011100	86091C
167	1372809	0101001111001010001001	14F289
168	1327984	0101000100001101110000	144370
169	9205087	0100011000111010101011111	8C755F
170	6524241	011000111000110101010001	638D51
171	9316072	0100011100010011011101000	8E26E8
172	127744	011111001100000000	1F300
173	8388820	0100000000000000011010100	8000D4
174	6883557	011010010000100011100101	6908E5
175	2291239	01000101111011000100111	22F627
176	3101270	01011110101001001010110	2F5256
177	1382825	0101010001100110101001	1519A9
178	9873376	0100101101010011111100000	96A7E0
179	6873500	011010001110000110011100	68E19C
180	8185634	011111001110011100100010	7CE722
181	2464786	01001011001110000010010	259C12
182	8387154	011111111111101001010010	7FFA52
183	5581444	010101010010101010000100	552A84
184	8097911	011110111001000001110111	7B9077
185	8882527	0100001111000100101011111	87895F
186	8941444	0100010000110111110000100	886F84
187	4942703	010010110110101101101111	4B6B6F
188	101144	011000101100011000	18B18
189	7471180	011100100000000001001100	72004C
190	1932131	0111010111101101100011	1D7B63
191	8052752	011110101110000000010000	7AE010
192	6359493	011000010000100111000101	6109C5
193	1967646	0111100000011000011110	1E061E
194	6575052	011001000101001111001100	6453CC
195	2323342	01000110111001110001110	23738E
196	6735760	011001101100011110010000	66C790
197	8895858	0100001111011110101110010	87BD72
198	4238091	010000001010101100001011	40AB0B
199	7093069	011011000011101101001101	6C3B4D
200	39	0100111	27

NUMBER	TC3	BIN	HEX
1	-39	-0100111	FFFFFFD9
2	-36	-0100100	FFFFFFDC
3	8	01000	8
4	34	0100010	22
5	17	010001	11
6	49	0110001	31
7	5	0101	5
8	39	0100111	27
9	0	0	0
10	33	0100001	21
11	12	01100	C
12	-6	-0110	FFFFFFFA
13	27	011011	1B
14	-4	-0100	FFFFFFFC
15	-38	-0100110	FFFFFFDA
16	26	011010	1A
17	49	0110001	31
18	29	011101	1D
19	42	0101010	2A
20	-16	-010000	FFFFFFF0
21	-28	-011100	FFFFFFE4
22	34	0100010	22
23	20	010100	14
24	0	0	0
25	25	011001	19
26	45	0101101	2D
27	3	011	3
28	-46	-0101110	FFFFFFD2
29	-46	-0101110	FFFFFFD2
30	29	011101	1D
31	33	0100001	21
32	29	011101	1D
33	26	011010	1A
34	-5	-0101	FFFFFFFB
35	-36	-0100100	FFFFFFDC
36	12	01100	C
37	45	0101101	2D
38	-50	-0110010	FFFFFFCE
39	0	0	0
40	-6	-0110	FFFFFFFA
41	-39	-0100111	FFFFFFD9
42	35	0100011	23
43	26	011010	1A
44	-35	-0100011	FFFFFFDD
45	-42	-0101010	FFFFFFD6
46	14	01110	E
47	-3	-011	FFFFFFFD
48	22	010110	16
49	-47	-0101111	FFFFFFD1
50	12	01100	C
51	-17	-010001	FFFFFFEF
52	-31	-011111	FFFFFFE1
53	-25	-011001	FFFFFFE7
54	-35	-0100011	FFFFFFDD
55	-18	-010010	FFFFFFEE
56	14	01110	E
57	37	0100101	25
58	-8	-01000	FFFFFFF8
59	-41	-0101001	FFFFFFD7
60	-50	-0110010	FFFFFFCE
61	-9	-01001	FFFFFFF7
62	2	010	2
63	12	01100	C
64	-39	-0100111	FFFFFFD9
65	-17	-010001	FFFFFFEF
66	0	0	0
67	27	011011	1B
68	28	011100	1C
69	45	0101101	2D
70	-44	-0101100	FFFFFFD4
71	28	011100	1C
72	35	0100011	23
73	-33	-0100001	FFFFFFDF
74	43	0101011	2B
75	-4	-0100	FFFFFFFC
76	23	010111	17
77	-49	-0110001	FFFFFFCF
78	49	0110001	31
79	-7	-0111	FFFFFFF9
80	-38	-0100110	FFFFFFDA
81	-45	-0101101	FFFFFFD3
82	5	0101	5
83	-21	-010101	FFFFFFEB
84	26	011010	1A
85	-2	-010	FFFFFFFE
86	-24	-011000	FFFFFFE8
87	6	0110	6
88	-45	-0101101	FFFFFFD3
89	-4	-0100	FFFFFFFC
90	15	01111	F
91	0	0	0
92	-17	-010001	FFFFFFEF
93	-35	-0100011	FFFFFFDD
94	43	0101011	2B
95	45	0101101	2D
96	-35	-0100011	FFFFFFDD
97	-8	-01000	FFFFFFF8
98	28	011100	1C
99	47	0101111	2F
100	34	0100010	22
101	-24	-011000	FFFFFFE8
102	-42	-0101010	FFFFFFD6
103	-13	-01101	FFFFFFF3
104	14	01110	E
105	-45	-0101101	FFFFFFD3
106	-35	-0100011	FFFFFFDD
107	27	011011	1B
108	-12	-01100	FFFFFFF4
109	-19	-010011	FFFFFFED
110	-20	-010100	FFFFFFEC
111	-14	-01110	FFFFFFF2
112	20	010100	14
113	30	011110	1E
114	12	01100	C
115	-36	-0100100	FFFFFFDC
116	-47	-0101111	FFFFFFD1
117	-27	-011011	FFFFFFE5
118	-3	-011	FFFFFFFD
119	6	0110	6
120	36	0100100	24
121	9	01001	9
122	-16	-010000	FFFFFFF0
123	36	0100100	24
124	-27	-011011	FFFFFFE5
125	7	0111	7
126	-6	-0110	FFFFFFFA
127	-5	-0101	FFFFFFFB
128	5	0101	5
129	47	0101111	2F
130	23	010111	17
131	-48	-0110000	FFFFFFD0
132	-24	-011000	FFFFFFE8
133	40	0101000	28
134	-4	-0100	FFFFFFFC
135	-18	-010010	FFFFFFEE
136	-19	-010011	FFFFFFED
137	14	01110	E
138	15	01111	F
139	1	01	1
140	24	011000	18
141	-9	-01001	FFFFFFF7
142	-50	-0110010	FFFFFFCE
143	18	010010	12
144	15	01111	F
145	30	011110	1E
146	44	0101100	2C
147	9	01001	9
148	19	010011	13
149	33	0100001	21
150	41	0101001	29
151	-24	-011000	FFFFFFE8
152	43	0101011	2B
153	48	0110000	30
154	-23	-010111	FFFFFFE9
155	7	0111	7
156	28	011100	1C
157	8	01000	8
158	-2	-010	FFFFFFFE
159	37	0100101	25
160	42	0101010	2A
161	-17	-010001	FFFFFFEF
162	-6	-0110	FFFFFFFA
163	36	0100100	24
164	22	010110	16
165	27	011011	1B
166	31	011111	1F
167	-47	-0101111	FFFFFFD1
168	-43	-0101011	FFFFFFD5
169	0	0	0
170	27	011011	1B
171	30	011110	1E
172	12	01100	C
173	-15	-01111	FFFFFFF1
174	-19	-010011	FFFFFFED
175	-42	-0101010	FFFFFFD6
176	-37	-0100101	FFFFFFDB
177	31	011111	1F
178	-10	-01010	FFFFFFF6
179	18	010010	12
180	33	0100001	21
181	-15	-01111	FFFFFFF1
182	17	010001	11
183	25	011001	19
184	-25	-011001	FFFFFFE7
185	-5	-0101	FFFFFFFB
186	33	0100001	21
187	-13	-01101	FFFFFFF3
188	33	0100001	21
189	-10	-01010	FFFFFFF6
190	47	0101111	2F
191	47	0101111	2F
192	-13	-01101	FFFFFFF3
193	-32	-0100000	FFFFFFE0
194	1	01	1
195	1	01	1
196	-25	-011001	FFFFFFE7
197	-33	-0100001	FFFFFFDF
198	16	010000	10
199	17	010001	11
200	4	0100	4

NUMBER	TC4	BIN	HEX
1	-39	-0100111	FFFFFFD9
2	-36	-0100100	FFFFFFDC
3	8	01000	8
4	34	0100010	22
5	17	010001	11
6	49	0110001	31
7	5	0101	5
8	ABC	#VALUE!	#VALUE!
9	0	0	0
10	33	0100001	21
11	12	01100	C
12	-6	-0110	FFFFFFFA
13	27	011011	1B
14	-4	-0100	FFFFFFFC
15	-38	-0100110	FFFFFFDA
16	26	011010	1A
17	49	0110001	31
18	29	011101	1D
19	42	0101010	2A
20	-16	-010000	FFFFFFF0
21	ERR	#VALUE!	#VALUE!
22	34	0100010	22
23	20	010100	14
24	0	0	0
25	25	011001	19
26	45	0101101	2D
27	3	011	3
28	-46	-0101110	FFFFFFD2
29	-46	-0101110	FFFFFFD2
30	29	011101	1D
31	33	0100001	21
32	29	011101	1D
33	26	011010	1A
34	-5	-0101	FFFFFFFB
35	-36	-0100100	FFFFFFDC
36	12	01100	C
37	45	0101101	2D
38	-50	-0110010	FFFFFFCE
39	0	0	0
40	-6	-0110	FFFFFFFA
41	VAL	#VALUE!	#VALUE!
